observation_id,observed_at,location_id,location_name,district,latitude,longitude,vehicle_type,speed_kmh,direction,sensor_id
OBS-0000058,2026-01-31 02:05:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,33.2,N,CAM-06-2
OBS-0000059,2026-01-30 00:36:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,truck,33.1,S,CAM-04-3
OBS-0000060,2026-03-07 16:31:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,truck,16.6,S,CAM-01-3
OBS-0000061,2026-01-11 18:23:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,26.1,E,CAM-01-1
OBS-0000062,2026-02-22 14:56:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,35.5,W,CAM-04-2
OBS-0000063,2026-01-22 18:46:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,20.6,S,CAM-04-3
OBS-0000064,2026-03-02 05:12:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,26.0,W,CAM-01-2
OBS-0000065,2026-01-21 18:37:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,31.0,E,CAM-02-2
OBS-0000066,2026-03-27 22:41:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,37.1,N,CAM-02-1
OBS-0000067,2026-01-04 11:01:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,24.3,E,CAM-05-2
OBS-0000068,2026-02-17 08:56:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,car,11.7,E,CAM-06-1
OBS-0000069,2026-03-18 12:25:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,59.6,S,CAM-06-3
OBS-0000070,2026-03-20 11:18:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,37.1,W,CAM-05-3
OBS-0000071,2026-03-28 13:29:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,34.9,S,CAM-03-2
OBS-0000072,2026-02-11 19:17:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,10.6,W,CAM-03-3
OBS-0000073,2026-01-29 09:59:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,26.2,N,CAM-05-2
OBS-0000074,2026-03-05 22:18:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,46.9,N,CAM-05-3
OBS-0000075,2026-01-08 15:57:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,35.8,N,CAM-02-1
OBS-0000076,2026-01-20 18:18:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,31.7,E,CAM-05-3
OBS-0000077,2026-03-28 23:24:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,truck,26.9,S,CAM-01-3
OBS-0000078,2026-01-08 18:51:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,26.3,W,CAM-01-2
OBS-0000079,2026-01-24 19:07:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,14.7,S,CAM-05-1
OBS-0000080,2026-01-27 21:04:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,47.7,E,CAM-03-1
OBS-0000081,2026-01-18 04:12:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,43.2,W,CAM-04-2
OBS-0000082,2026-03-15 22:07:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,31.7,S,CAM-03-3
OBS-0000083,2026-01-03 16:28:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,22.7,N,CAM-05-3
OBS-0000084,2026-03-22 07:27:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,car,30.2,N,CAM-06-2
OBS-0000085,2026-02-03 11:54:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,35.3,S,CAM-01-1
OBS-0000086,2026-03-31 15:50:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,46.3,N,CAM-01-3
OBS-0000087,2026-02-04 16:44:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,21.7,W,CAM-01-2
OBS-0000088,2026-02-20 13:42:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,41.0,E,CAM-01-3
OBS-0000089,2026-03-25 12:43:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,35.4,N,CAM-04-2
OBS-0000090,2026-01-25 03:33:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,31.6,S,CAM-03-1
OBS-0000091,2026-02-09 09:01:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,bus,10.6,W,CAM-03-2
OBS-0000092,2026-01-17 02:06:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,32.4,W,CAM-03-1
OBS-0000093,2026-03-25 17:12:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,19.5,W,CAM-06-1
OBS-0000094,2026-02-10 04:50:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,49.3,S,CAM-02-2
OBS-0000095,2026-01-30 22:39:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,37.1,W,CAM-03-2
OBS-0000096,2026-02-19 14:49:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,33.2,S,CAM-02-2
OBS-0000097,2026-02-21 02:10:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,35.7,W,CAM-02-2
OBS-0000098,2026-02-20 00:54:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,29.6,W,CAM-01-2
OBS-0000099,2026-03-03 19:40:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,22.6,S,CAM-01-2
OBS-0000100,2026-03-01 00:04:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,25.0,W,CAM-03-3
OBS-0000101,2026-01-01 22:58:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,37.3,W,CAM-02-2
OBS-0000102,2026-01-31 20:00:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,43.8,S,CAM-04-3
OBS-0000103,2026-03-02 03:16:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,39.5,S,CAM-01-2
OBS-0000104,2026-01-26 04:55:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,32.3,E,CAM-05-1
OBS-0000105,2026-03-05 00:38:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,truck,42.4,S,CAM-05-2
OBS-0000106,2026-03-27 20:12:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,47.3,S,CAM-02-3
OBS-0000107,2026-01-08 16:07:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,7.9,S,CAM-03-1
OBS-0000108,2026-01-25 15:44:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,bus,29.7,N,CAM-01-1
OBS-0000109,2026-03-08 19:59:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,bus,14.3,W,CAM-05-3
OBS-0000110,2026-02-01 01:30:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,35.5,E,CAM-06-3
OBS-0000111,2026-01-24 05:49:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,26.8,W,CAM-04-1
OBS-0000112,2026-02-13 18:03:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,19.1,E,CAM-01-2
OBS-0000113,2026-02-03 10:54:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,37.3,S,CAM-02-3
OBS-0000114,2026-03-16 04:15:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,49.5,N,CAM-01-3
OBS-0000115,2026-02-28 18:01:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,car,16.2,E,CAM-06-2
OBS-0000116,2026-01-09 06:10:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,26.7,E,CAM-05-2
OBS-0000117,2026-03-02 03:00:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,truck,32.7,S,CAM-03-2
OBS-0000118,2026-02-17 09:08:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,27.1,N,CAM-05-3
OBS-0000119,2026-01-03 15:04:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,30.2,S,CAM-02-3
OBS-0000120,2026-03-14 01:27:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,36.0,W,CAM-02-1
OBS-0000121,2026-03-03 18:11:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,truck,26.7,W,CAM-05-3
OBS-0000122,2026-03-08 02:18:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,29.6,S,CAM-05-3
OBS-0000123,2026-03-06 03:41:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,46.9,N,CAM-05-3
OBS-0000124,2026-01-26 12:28:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,34.7,S,CAM-01-1
OBS-0000125,2026-03-29 15:55:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,26.8,S,CAM-03-3
OBS-0000126,2026-03-10 09:22:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,20.1,S,CAM-01-2
OBS-0000127,2026-02-26 16:31:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,16.5,S,CAM-06-3
OBS-0000128,2026-03-22 19:55:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,15.5,W,CAM-03-3
OBS-0000129,2026-02-07 00:39:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,car,38.9,N,CAM-06-2
OBS-0000130,2026-01-06 07:04:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,26.8,E,CAM-01-2
OBS-0000131,2026-01-15 21:50:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,23.1,W,CAM-01-1
OBS-0000132,2026-01-22 22:44:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,38.2,W,CAM-02-1
OBS-0000133,2026-01-15 10:16:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,22.4,W,CAM-03-2
OBS-0000134,2026-01-20 00:57:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,truck,36.6,W,CAM-06-3
OBS-0000135,2026-02-13 20:31:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,48.2,N,CAM-05-1
OBS-0000136,2026-03-07 01:31:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,40.8,S,CAM-03-1
OBS-0000137,2026-01-19 12:42:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,bus,34.5,W,CAM-02-1
OBS-0000138,2026-03-30 09:10:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,17.8,E,CAM-05-2
OBS-0000139,2026-02-03 05:51:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,33.4,E,CAM-06-2
OBS-0000140,2026-03-31 15:07:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,42.1,S,CAM-04-3
OBS-0000141,2026-03-30 06:16:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,33.0,N,CAM-02-3
OBS-0000142,2026-02-20 23:45:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,42.0,E,CAM-06-3
OBS-0000143,2026-02-11 23:02:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,30.0,N,CAM-01-2
OBS-0000144,2026-01-04 09:19:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,16.7,N,CAM-03-1
OBS-0000145,2026-03-25 23:21:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,36.0,W,CAM-05-3
OBS-0000146,2026-02-19 05:21:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,37.5,E,CAM-04-1
OBS-0000147,2026-01-10 13:42:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,30.4,N,CAM-01-1
OBS-0000148,2026-03-30 08:40:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,26.9,N,CAM-06-3
OBS-0000149,2026-03-07 06:49:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,42.7,W,CAM-03-3
OBS-0000150,2026-02-06 09:53:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,36.4,E,CAM-02-2
OBS-0000151,2026-02-14 12:08:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,33.7,N,CAM-01-3
OBS-0000152,2026-02-23 18:04:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,22.3,N,CAM-04-2
OBS-0000153,2026-02-05 00:26:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,37.4,E,CAM-02-1
OBS-0000154,2026-01-29 13:40:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,29.3,W,CAM-05-3
OBS-0000155,2026-01-03 09:26:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,10.4,N,CAM-05-3
OBS-0000156,2026-03-15 08:23:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,26.2,N,CAM-03-3
OBS-0000157,2026-02-11 14:57:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,37.0,W,CAM-02-2
OBS-0000158,2026-01-23 05:42:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,37.0,E,CAM-01-1
OBS-0000159,2026-01-25 05:56:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,37.3,N,CAM-05-1
OBS-0000160,2026-03-18 15:43:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,car,38.7,N,CAM-06-2
OBS-0000161,2026-03-02 17:06:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,truck,38.7,W,CAM-05-3
OBS-0000162,2026-03-27 00:18:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,40.7,S,CAM-06-3
OBS-0000163,2026-03-30 09:13:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,18.5,N,CAM-06-2
OBS-0000164,2026-01-01 15:57:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,39.1,N,CAM-02-2
OBS-0000165,2026-01-07 11:46:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,46.0,S,CAM-03-2
OBS-0000166,2026-02-19 07:17:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,13.4,W,CAM-01-2
OBS-0000167,2026-01-23 01:17:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,42.2,W,CAM-01-3
OBS-0000168,2026-01-17 05:52:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,35.7,S,CAM-05-3
OBS-0000169,2026-02-15 22:51:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,truck,35.7,S,CAM-02-2
OBS-0000170,2026-01-02 17:22:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,11.6,S,CAM-01-3
OBS-0000171,2026-03-12 21:39:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,38.4,S,CAM-05-3
OBS-0000172,2026-01-16 23:50:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,46.9,N,CAM-03-1
OBS-0000173,2026-03-16 03:05:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,22.9,W,CAM-01-3
OBS-0000174,2026-01-31 19:42:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,31.4,E,CAM-05-1
OBS-0000175,2026-03-04 01:05:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,31.8,W,CAM-06-1
OBS-0000176,2026-02-24 03:03:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,31.5,S,CAM-03-2
OBS-0000177,2026-02-18 08:32:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,bus,28.4,S,CAM-06-3
OBS-0000178,2026-02-23 16:40:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,18.0,W,CAM-04-1
OBS-0000179,2026-03-28 21:08:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,24.0,S,CAM-05-1
OBS-0000180,2026-02-18 00:14:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,39.0,W,CAM-05-2
OBS-0000181,2026-02-10 10:36:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,24.9,N,CAM-01-2
OBS-0000182,2026-01-12 01:23:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,26.0,E,CAM-05-2
OBS-0000183,2026-03-18 23:37:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,34.4,E,CAM-01-2
OBS-0000184,2026-03-09 07:44:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,21.5,W,CAM-04-2
OBS-0000185,2026-03-16 11:06:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,39.8,S,CAM-03-3
OBS-0000186,2026-03-06 20:38:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,truck,42.4,W,CAM-03-1
OBS-0000187,2026-03-02 12:02:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,32.1,S,CAM-06-3
OBS-0000188,2026-02-28 16:01:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,25.6,S,CAM-03-3
OBS-0000189,2026-01-28 13:39:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,46.6,E,CAM-05-2
OBS-0000190,2026-01-23 01:53:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,29.8,E,CAM-04-1
OBS-0000191,2026-02-26 13:00:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,car,41.6,S,CAM-06-2
OBS-0000192,2026-02-27 22:09:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,29.1,N,CAM-04-3
OBS-0000193,2026-03-09 03:57:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,44.3,E,CAM-03-2
OBS-0000194,2026-03-31 13:37:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,41.4,E,CAM-02-3
OBS-0000195,2026-02-16 01:25:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,24.3,S,CAM-05-1
OBS-0000196,2026-02-17 20:22:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,54.6,E,CAM-04-1
OBS-0000197,2026-02-23 05:05:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,26.7,N,CAM-05-1
OBS-0000198,2026-01-20 14:20:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,49.0,W,CAM-02-2
OBS-0000199,2026-02-09 15:14:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,30.6,N,CAM-02-1
OBS-0000200,2026-02-06 04:26:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,35.7,E,CAM-02-3
